167,Auditeur Interne, Confidentiel ,19/12/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Rattaché à la Direction Générale, vous préparez et réalisez les missions d’audit visant à améliorer les méthodes de travail et traquer les risques financiers et opérationnels. "
168,Directeur De Production, Confidentiel ,05/12/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Élaboration du programme de production en fonction des besoins commerciaux et des contraintes (techniques, matières premières, délais, stocks.....) ; Recherche de solutions visant à augmenter le taux de rendement global et à optimiser la consommation des ressources. Organisation et gestion de la production (nouveaux processus, nouvelle organisation fonctionnelle, etc...) Établissement des plans d'approvisionnement (quantités, volumes, rythme de production) pour les différentes familles de produit Recommandation des mesures d'optimisation et d'amélioration des procédés de production existants Identification des dysfonctionnements et des imprévues productions et apports des solutions adéquates Définition et suivi de l'évolution des indicateurs de performance de production Assurer un reporting régulier à la Direction Générale et au comité de direction Garantie du bon fonctionnement de la chaine de production Animation des groupes de travail dans le cadre des projets destinés à améliorer la production Proposition des investissements qui permettront d'améliorer la production Planification de la production dans le respect des nomenclatures Supervision et suivi de l'application des instructions d'hygiène et de sécurité Gestion d'équipe des ingénieurs responsables des différents ateliers de production "
169,Chef Du Service Qhse, Confidentiel ,01/12/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Déterminer une politique et des procédures QHSE en concertation avec le Directeur du département Technique permettant de répondre aux exigences réglementaires et aux objectifs QHSE de l’entreprise, S’assurer que les engagements de la Direction Générale Adjointe en matière de management de la Qualité, Hygiène, Sécurité et Environnement sont communiqués, compris, mis en œuvre et entretenus tous les niveaux de l’entreprise Effectuer une veille réglementaire QHSE en continu, Réaliser des audits réguliers pour évaluer la conformité QHSE par rapport aux démarches internes et à la réglementation en vigueur, Estimer les risques encourus par le personnel de l’entreprise et faire appliquer les règles d’hygiène et de sécurité : suivi sur le terrain, contrôles ponctuels dans les ateliers…, Mettre en place des plans d’action d’amélioration au terme des audits ou des évolutions du système de management QHSE, Veiller en Permanence à la satisfaction du client (enquête de satisfaction du client, écoute client), en collaboration avec la Direction Commerciale et Marketing, Superviser toutes les opérations de la qualité des produits, à chaque phase du processus, des matières premières utilisées jusqu’aux produits finis, Sensibiliser et former les équipes aux problématiques et procédures applicables en matière de QHSE, Préparer et coordonner les acteurs en situation de crise/urgence (rédaction de plans de secours, exercices…). Piloter les réunions du Comité d’Hygiène et de Sécurité et prendre en charge les comptes rendus et suivre la réalisation des actions, Planifier et conduire les audits externes relatifs aux certifications obtenues ou éventuelles labellisations, Développer une culture Qualité au sein de l’entreprise. "
,postes,entreprises,date de publication,localités,pays concernés,categoriess,regions,contrats,experiences,diplomes,langues,salaires,fonction,Missions
170,ChargÃ© Dâachat & Import, Confidentiel ,28/11/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 3 , Anglais , Negociable ,non spécifié," Rattaché hiérarchiquement à la Direction Support et en étroite collaboration avec la Direction Générale, vous aurez pour responsabilité de négocier et conclure les achats de tout produit ou service, nécessaire au bon fonctionnement de l'activité de la société, aux meilleures conditions de qualité, prix et délais. A cet effet, vos principales missions seront "
171,Responsable Commercial ( Casablanca ) , Confidentiel ,24/11/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Établir, développer et maintenir des relations commerciales positives avec les clients. Présenter, promouvoir et vendre des produits aux clients existants et potentiels. Prospecter de nouveaux clients ; Participation aux actions de recouvrement Reporting de l’activité et des prévisions "
172,Commercial En Agroalimentaire, Confidentiel ,24/11/2022," Marrakech-Tensift-El Haouz, Maroc ", Maroc ,non spécifié, Marrakech-Tensift-El Haouz , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié," Établir, développer et maintenir des relations commerciales positives avec les clients. Présenter, promouvoir et vendre des produits aux clients existants et potentiels. Prospecter de nouveaux clients ; Participation aux actions de recouvrement Reporting de l’activité et des prévisions Vous vous déplacez fréquemment aux différentes régions au Maroc. "
173,Aide Comptable, Confidentiel ,24/11/2022," AGADIR, Maroc ", Maroc ,non spécifié, AGADIR , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Gestion de la comptabilité fournisseurs, avec la saisie des factures d'achats, des frais généraux et des immobilisations, jusqu'à la préparation des règlements fournisseurs ; Gestion de la comptabilité clients (enregistrement des règlements, lettrages et relances clients) ; Comptabilisation des immobilisations, calcul des dotations ; Rapprochements bancaires et du suivi de placements de trésorerie ; Préparation et déclaration de TVA ; Alimenter les informations pour la gestion du personnel (saisie des congés, absences,...) ; Suivi et comptabilisation des notes de frais. Il aide également à la révision et à la préparation des bilans. "
174,Assistante Administration Des Ventes ( Agadir ) , Confidentiel ,24/11/2022," AGADIR, Maroc ", Maroc ,non spécifié, AGADIR , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Prend les appels téléphoniques et informe les clients en fonction de leur demande (suivi de commande, informations, ...) ; Effectue l'étude commerciale et technique de la demande du client (disponibilité des produits, coût, délai de fabrication, ...) ; Rédige les devis et fait suivre les données sur les modalités commerciales et techniques (planning, prix, paiement, ...) aux commerciaux terrains, clients, ... ; Note la commande, S'informe des conditions de réalisation (délais de livraison, mode de conditionnement, ...) et transmet les informations au client ou au commercial ; Gère les éléments de paiement des commandes (règlement, facturation, ...) ou les fait suivre au service concerné (comptable, contentieux, ...) ; S'occupe du suivi de la clientèle ou de fournisseurs et définit des solutions en cas de dysfonctionnements. "
175,Dessinateur ( Agadir ) , Confidentiel ,24/11/2022," AGADIR, Maroc ", Maroc ,non spécifié, AGADIR , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Concevoir, étudier et dessiner les différents types de mobilier. Etablir les plans éclatés des produits. Etablir les plans d’ensemble. Etablir les plans de définition. Rédiger les descriptifs techniques. Etablir les listes de débitage. Etablir les plans d’usinage. Programmer les machines d’usinage. Etablir les besoins matières des différents projets. Chiffrer les projets. Établir les plans d’implantation et schémas à réaliser Lancer et suivre la production des différentes machines. Contrôler les meubles montés. Assurer la réception des projets Coordonner avec le chef de fabrication. Assurer le suivi technique. "
176,Responsable Production ( Agadir ) , Confidentiel ,21/11/2022," AGADIR, Maroc ", Maroc ,non spécifié, AGADIR , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Encadrer une équipe, Gérer les plannings de production avec les responsables des ateliers (Menuiserie, Tapisserie, Chaudronnerie...) Participer et être force de proposition sur l'optimisation de la performance industrielle, Gérer des indicateurs, KPI,... Manager des équipes et coordinations avec les autres départements, S'assurer du respect des règles hygiènes sécurité, qualité, Informer, former aux évolutions techniques, à la transmission de compétences, aux exigences de qualité, de sécurité et d'environnement S'assurer du bon fonctionnement des équipements industriels, Lancer de nouveaux modèles, Analyser les défaillances, les dysfonctionnements, proposer des améliorations, Prévoir les investissements nécessaires en collaboration avec le bureau d'études, les méthodes et les achats ; argumenter le dossier auprès des décideurs, "
177,Chef De Produit E-commerce ChargÃ© Marketplace, Confidentiel ,16/11/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié, Le Chef de Produit e-commerce chargé Marketplace se charge du catalogue en ligne et l’animation du site ainsi des boutiques sur les différentes marketplaces. 
178,Responsable Production ( Kenitra ) , Confidentiel ,15/11/2022," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Encadrement d'une équipe, Gestion des plannings, Participation et force de proposition sur l'optimisation de la performance industrielle, Gestion des indicateurs, KPI,... Management, S'assurer du respect des règles hygiènes sécurité, qualité,... S'assurer du bon fonctionnement des équipements industriels, Mise en place d'indicateurs,... "
179,Responsable Concepteur Cuisine ( Tanger ) , Confidentiel ,15/11/2022," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié, Brand Manager Kitchen Responsable Concepteur/vendeur 
180,ContrÃleur De Gestion, Confidentiel ,28/10/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Analyser les indicateurs de rentabilité. Construire le budget prévisionnel de l’entreprise. Tenir les fichiers des objectifs à jour parallèlement à l'avancement de la réalisation. Participer à l’élaboration des tableaux de bords. Etablir les états des reportings périodiques et en assurer la qualité et la fiabilité des données. Définir et mettre en place les indicateurs et les procédures de suivi de l’activité de l’entreprise, destinés à suivre au mieux la rentabilité de la société. Réaliser l’élaboration du reporting et du Forecast. Analyser les écarts identifiés par rapport au budget, et proposer des mesures correctives. "
181,Ingenieur Travaux, Confidentiel ,27/10/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Est responsable du suivi de chantier, avancement physique, planning, coordination des travaux."" "
182,Responsable Dâaffaires, Confidentiel ,27/10/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Organise et gère les affaires dont il a la responsabilité et assure son suivi technique, commercial, financier et managérial."" "
183,Chef De Chantier, Confidentiel ,27/10/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Est responsable de sa propre sécurité ; Fait appliquer les procédures liées à la Sécurité, Qualité et à l’Environnement ; Remonte les incidents et les presque accidents ; Participe à l’analyse des causes après accidents et situations risques ; Vérifie les habilitations de son équipe ; Informe le responsable d’affaires de la non- conformité des chantiers."" "
184,Conducteurs Travaux, Confidentiel ,27/10/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Garantit et contrôle l’exécution des travaux, organise le déploiement et la gestion des ressources notamment les richesses humaines,optimise,propose des modes Opératoires adaptés efficaces, représente et assure les interfaces chantier."" "
185,DÃ©lÃ©guÃ© MÃ©dical ( Casablanca / Rabat ) , Confidentiel ,26/10/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Assurer la promotion des produits fabriqués par le laboratoire pharmaceutique. Réaliser des entretiens d’information, de promotion et de conseil auprès des professionnels de santé. Gestion des visites dans le cadre d’un plan d’action et d’un travail en équipe. Développer les relations avec les différents professionnels de santé. Organiser et animer des actions de communication professionnelle. Recueil et traitement d’informations sur les produits. Rédiger des comptes rendus après les visites effectuées. Récolter les remarques et les avis des professionnels de santé sur les produits afin de modifier et d’élaborer de nouvelles stratégies. Etre toujours à jour sur les nouveautés relatives au secteur médical. Assurer une veille concurrentielle. "
186,Acheteur Industriel - Kenitra, Confidentiel ,26/10/2022," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Recueillir les besoins de l’entreprise en fonction du type de produits, en lien avec les services recherche et développement, production et conditionnement pour les emballages. Participer à l’élaboration des cahiers des charges concernant la nature du produit, la quantité de matières premières nécessaires à la fabrication, ses spécificités, dans le respect des normes en vigueur, en fonction de la destination du produit "
187,IngÃ©nieur Production Italophone, Confidentiel ,21/10/2022," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Italien , Negociable ,non spécifié," Planifie l’activité des personnes en fonction de la production Gestion des KPIs de production; Répartit les activités entre les ateliers et les équipes; Propose des solutions techniques et organisationnelles d’amélioration de production; Affecte le personnel sur les postes de travail; Anime plusieurs équipes de production; Mise en place des méthodes de fabrication; Assurer la sécurité; Démarrage des nouveaux projets - Participation aux études PFMEA, process, changement - Suivre, contrôler et réduire les défauts de qualité par l’outil LPA - Superviser et assurer la réalisation du plan de production - Piloter les projets d’amélioration continue - Améliorer la productivité et la qualité des lignes de production - Surveillance de la production en utilisant le logiciel MES et SAP "
188,Chef Du Service Export, Confidentiel ,18/10/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Définition de la stratégie commerciale à l’export ; Développement des ventes à l’export ; Etablissement du budget annuel (des ventes, des frais de fonctionnement,…etc.) ; Veille concurrentielle sur le marché à l’export ; Prospection et sélection des nouveaux marchés à l’export ; Négociation et vente à l’export des produits de la société ; Suivi des règlements ; Gestion et organisation des déplacements des supports techniques sur les marchés à l’export ; Supervision des inspections, des chargements et des expéditions des marchandises exportées. "
189,Chef De DÃ©partement Laboratoire, Confidentiel ,18/10/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Coordonner l’activité des laborantins et structurer l’ensemble des analyses réalisées ; Gérer les ressources et organiser le travail des équipes de laborantins ; Assurer le développement des compétences de l’équipe de laboratoire vis-à-vis des évolutions réglementaires et technologiques. 
190,IngÃ©nieur Production, Confidentiel ,14/10/2022," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Planifie l’activité des personnes en fonction de la production Gestion des KPIs de production; Répartit les activités entre les ateliers et les équipes; Propose des solutions techniques et organisationnelles d’amélioration de production; Affecte le personnel sur les postes de travail; Anime plusieurs équipes de production; Mise en place des méthodes de fabrication; Assurer la sécurité; Démarrage des nouveaux projets Participation aux études PFMEA, process, changement Suivre, contrôler et réduire les défauts de qualité par l’outil LPA Superviser et assurer la réalisation du plan de production Piloter les projets d’amélioration continue Améliorer la productivité et la qualité des lignes de production Surveillance de la production en utilisant le logiciel MES et SAP "
191,Superviseur Commercial, Confidentiel ,12/10/2022," Tout le Maroc, Maroc ", Maroc ,non spécifié, Tout le Maroc , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Contribuer à la définition et à la mise en œuvre de la stratégie commerciale ; Animer, accompagner, former et motiver l'équipe des commerciaux et des vendeurs ; Répondre aux doléances des clients et apporter un soutien après-vente en cas de besoin ; Assurer l’accompagnement du client, maintenir et développer le lien client afin de bien le conseiller sur les produits de la société ; Surveiller les progrès de l’équipe de la force de vente, identifier les failles et proposer des améliorations ; S'assurer de l'atteinte des objectifs fixés et du respect des plans d'action ; En collaboration avec les chefs des agences, effectuer un suivi des résultats des ventes et de la part du marché ; Développer le portefeuille clients, recueillir, définir et étudier leurs besoins ; En collaboration avec les chefs des agences et de l’expérience client, mettre en place des stratégies afin d’augmenter les ventes des produits de la société ; Mettre en application les processus reliés à la vente des différents produits de la société ; Aider à la préparation et à l’organisation de supports promotionnels ou d’événements ; Animer et optimiser le réseau de distribution ; S’assurer de l’envoi régulier du reporting commercial ; Assurer une veille concurrentielle et étudier l’évolution du marché ; Appliquer la stratégie marketing définie par la direction commerciale. "
192,Chef Du Service Des Ventes - Region Sud, Confidentiel ,12/10/2022," Tout le Maroc, Maroc ", Maroc ,non spécifié, Tout le Maroc , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, El Jadida Safi Béni Mellal Khouribga Khénifra Marrakech Agadir et le Sud. 
193,Agent Commercial, Confidentiel ,12/10/2022," Tout le Maroc, Maroc ", Maroc ,non spécifié, Tout le Maroc , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié, Al Hoceima Tanger 
194,Chef D'agence Commerciale, Confidentiel ,11/10/2022," Tout le Maroc, Maroc ", Maroc ,non spécifié, Tout le Maroc , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié, Casablanca et régions Agadir et régions Oujda et régions Marrakech 
195,Responsable Comptable , Confidentiel ,28/09/2022," AGADIR, Maroc ", Maroc ,non spécifié, AGADIR , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Rattaché à la Direction générale, il assure la gestion de la comptabilité générale et analytique et l’établissement des Reporting, ainsi que les déclarations fiscales et légales ; Elaborer, comptabiliser et éditer les différentes factures clients, en concertation avec les responsables du projet ; Enregistrer les opérations de clôtures mensuelle et annuelle (provisions, charges constatées d’avance, TVA, encaissements…) Préparer les états de synthèse annuelle et assurer tout le processus y afférents. Assurer l’élaboration des déclarations fiscales (TVA, IS, TP…) et au suivre le paiement des taxes et impôts. Assister les auditeurs internes et externes dans la réalisation de leur mission en leur fournissant les analyses des comptes et les explications nécessaires ; Elaborer et valider les reportings mensuels et trimestriels selon les normes comptables "
196,Manager Logistique, Confidentiel ,28/09/2022," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Optimiser la gestion de stock, respecter les délais et les coûts Assurer et faire le suivi de toutes les activités liées à la logistique Assurer l’approvisionnement des fournisseurs en matières premières Traiter les commandes, assurer le stockage et organiser le planning Veiller à l’expédition et à la réception des marchandises par les clients Collaborer avec les responsables internes, avec la direction et les fournisseurs pour mieux gérer le flux Veiller au respect et à la conformité avec les conditions de sécurité Accès au SCORE CARD : Indicateurs KPI client - portail Analyse Capacitaire (pour pouvoir livrer) Assumer la responsabilité de l’atteinte des objectifs de production en satisfaisant les critères Qualité, coût et Délais définis par la Direction de l’Usine, Gérer l'équipe au quotidien : s'assurer du bon niveau d'effectif, garantir le respect du travail standard, être présent sur le terrain pour répondre aux questions ou aborder les problèmes S’assurer que l’outil de production est en mesure de répondre aux exigences du planning, Suivie des CSR Clients Identification des actions correctives et préventives Délégation pour assurer la conformité aux exigences relatives au produit L'analyse des tableaux de bord des indicateurs du client en ce qui concerne les données de logistique Maitrise des KPI relatif au service (voir tableau de bord des KPI) Gestion de la Douane / Transit / transport / Gestion de lot industriel ... "
197,Assistante De Direction, Confidentiel ,19/09/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié," Assiste le DG afin d'optimiser la gestion de ses activités (gestion de planning, organisation de déplacements, Evénements, communication, préparation de réunions, accueil, ...). Organiser et coordonner les informations internes et externes. Collecter les informations pour analyser et établir un reporting au DG "
,postes,entreprises,date de publication,localités,pays concernés,categoriess,regions,contrats,experiences,diplomes,langues,salaires,fonction,Missions
198,Responsable Ressources Humaines ( Agadir ) , Confidentiel ,14/09/2022," AGADIR, Maroc ", Maroc ,non spécifié, AGADIR , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," En tant que Responsable Ressources Humaines, vous aurez un rôle déterminant dans la gestion quotidienne de la société, d’un point de vue administratif et opérationnel en assurant le support de la direction générale sur différents sujets "
199,Product Manager, Confidentiel ,14/09/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Executes and manages top down communicated margins and prices Leads Commercial planning and strategy for the assigned products Supports forecast accuracy for the assigned products Defines the product portfolio, the product positioning, pricing, distribution, service and promotion plan Manages data for the assigned products Manages revenues and margin targets within the assigned products Establishes high levels of customer satisfaction Ensures offers are aligned with market needs Maximizes the brand's positioning "
200,Chef De La Section SÃ©curitÃ© Et Moyens GÃ©nÃ©raux , Confidentiel ,14/09/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié, Rattaché (e) au Directeur Supports 
201,Content Manager, Confidentiel ,14/09/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Le Content Manager a pour mission de piloter la rédaction des contenus et leur mise à jour sur le site en respectant les objectifs du site. Son but : intéresser l’utilisateur grâce à un contenu adapté et de qualité pour transformer l’audience en clients ou en prospects. 
202,Chef DÃ©partement Organisation Et SystÃ¨me D'information ( Casablanca ) , Confidentiel ,01/09/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Animer les projets informatiques par des réunions de pilotage et de validation, en lien avec les chefs de projet et les différentes structures Rédaction des procédures et les process Assistance à maîtrise d'ouvrage (AMOA) et gestion de projet (PMO) Définir les orientations techniques et technologiques en matière d’informatique ; Evaluer et proposer les investissements informatiques répondant aux besoins exprimés ; Superviser la rédaction des cahiers des charges conformes aux besoins et au choix de notre client ; Définir les normes et les standards des bases de données, des outils, systèmes ou réseaux ; Superviser l’infrastructure des réseaux d’information et garantir leur fonctionnement et leur sécurité ; Participer à la mise en place de la conduite du changement Réaliser les actions de transfert des compétences aux équipes opérationnelles, préconiser et / ou assurer la formation des formateurs Assurer le reporting des projets auprès du directeur chargé de mission Participer au recensement, à l’analyse et à la consolidation des demandes de maintenance applicative ou corrective du système d’information de la holding Recueillir et analyser les besoins des équipes métiers pour de nouveaux projets ou des refontes importantes Prioriser les projets et veiller à la cohérence des demandes Préparer les éléments de chiffrage du coût des projets Préparer les dossiers contenant les enjeux, le contexte, les impacts et l’évolution des processus pour la présentation en comité de projets Rédiger les cahiers des charges formalisant les besoins des métiers Constituer les dossiers de consultation, dépouiller les réponses et participer au choix des solutions et des prestataires Définir la politique en matière de sécurité informatique : identification avec la direction générale des informations sensibles et des risques, proposition des mesures à prendre ; Réaliser les tableaux de bord de suivi de l’exploitation ; Garantir le bon respect des termes des cahiers des charges ; Apporter son support technique et son assistance ; Apporter la cohérence dans la mise en place des applications informatiques ; Évaluer et préconiser les investissements informatiques correspondant aux besoins métiers exprimés en tenant compte de leur efficacité et de la maîtrise des risques ; "
203,Agent De Transit Et Achats, Confidentiel ,31/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Suivi des opérations imports: Coordonner les commandes de marchandises jusqu’à leur livraison et leur paiement. Faire en sorte que le transit de marchandises se déroule sans problème. Elaborer toute la documentation réglementaire pour l’import et l’export de produits spécifiques (déclaration de matières dangereuses, certificats, etc.). Jouer le rôle d’interface entre la société et les autorités douanières. Intervenir en cas de litiges auprès des douanes mais aussi des assurances. Référencement des fournisseurs et des articles (matière première, consommables, PDR.. ) sur Sage X3. Saisie des commandes locales et import et des expéditions des fournisseurs. Saisie sur Sage X3 des factures de frais d'approche des commandes imports. "
204,"Chef De Projet Si ( Technico-fonctionnel, Amoa, Pmo ) ", Confidentiel ,31/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Recenser les besoins des utilisateurs, assurer le suivi et proposer les arbitrages nécessaires Réaliser les tableaux de bord de suivi de l’exploitation du SI Garantir le bon respect des cahiers des charges techniques et fonctionnelles Participer aux missions d'élaboration de schémas directeurs SI "
205,Superviseur Production, Confidentiel ,30/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Ordonnancement et planification de la production; Gestion des relations humaines et des ressources de production; Résolution des problèmes courants. 
206,Directeur Commercial Agroalimentaire , Confidentiel ,24/08/2022," Marrakech-Tensift-El Haouz, Maroc ", Maroc ,non spécifié, Marrakech-Tensift-El Haouz , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Mise en place de la stratégie de développement en adéquation avec les orientations du groupe Etablir et mettre en œuvre un plan d’action commercial par segment de clientèle, marché et canaux de distribution Améliorer les ventes tout en garantissant les résultats de rentabilité Encadrer l’équipe commerciale Rechercher de nouveaux axes de développement Etablir les budgets de vente et de fonctionnement annuel Analyser et contrôler le développement du marché du secteur : reporting mensuel, élaboration de tableaux de bord… "
207,Directeur Administratif Et Financier, Confidentiel ,24/08/2022," Marrakech-Tensift-El Haouz, Maroc ", Maroc ,non spécifié, Marrakech-Tensift-El Haouz , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Veiller à la bonne gestion administrative et financière de l’entreprise. Contrôler la bonne exécution de la stratégie et des procédures définies avec la direction générale et coordonne les services dont il/elle a la charge. Un véritable Business Partner qui manage la direction financière sur deux unités (Production/Distribution). Contribuer à la définition de la stratégie de la division dans une démarche business partner en accord avec les processus Groupe. En concertation avec le Groupe, vous garantissez la fiabilité des comptes et des résultats du périmètre ainsi que l'application des normes et procédures et leurs évolutions (comptabilité, contrôle de gestion, fiscalité et reporting, trésorerie, budget, optimisation et évolution du SI). Animer hiérarchiquement les équipes administratives et comptables, finances, contrôle de gestion de la division et fonctionnellement les équipes administration/finance. "
208,ContrÃ´le QualitÃ©, Confidentiel ,19/08/2022," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Aider à la mise en œuvre des systèmes de gestion intégrés Surveiller et rendre compte à l'équipe corporative des performances de mise en œuvre. Aider à examiner les mises à jour et les révisions des systèmes de gestion pour répondre aux exigences actuelles. Coordonner avec l'équipe corporative les relations avec les auditeurs tiers. Faire rapport avec l'équipe de l'entreprise aux problèmes de la haute direction. Coordonner avec le responsable QC/QA et l'équipe. Coordonner et superviser les activités de non-conformité. Maintenir et vérifier l'inventaire physique et l'exactitude des enregistrements. Responsable du décompte des stocks et des rapports de fin de mois. Assurez-vous que les coûts d'inventaire sont correctement enregistrés et reflètent toutes les transactions Autres tâches jugées nécessaires au poste assigné par la direction. 
209,Cadre Qse, Confidentiel ,19/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Le cadre QSE a pour mission de contribuer à la mise en place de la politique QSE de l’entreprise, de coordonner avec les différents départements et directions sur les projets transverses d’amélioration continue. Il doit veiller à la conformité des processus et des produits et à la sécurité de l’environnement de travail conformément à la réglementation, aux référentiels choisis par l’entreprise et aux procédures internes de l’entreprise. "
210,Directeur General, Confidentiel ,19/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Analyse de la demande et l'environnement technique, économique et politique afin d'anticiper les projets, Définition des objectifs et des moyens pour les réaliser, Mise en place d'actions de commercialisation, Mise en place d'actions d'information et de communication. "
211,MÃ©canicien, Confidentiel ,19/08/2022," Berrechid, Maroc ", Maroc ,non spécifié, Berrechid , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Entretenir et réparer Contrôler les matériels à chaque retour de location ; Assurer la maintenance (entretien et réparation) des matériels conformément aux indications du constructeur et aux instructions de la hiérarchie technique ; S’assurer de la bonne exécution des contrôles réglementaires et lever sans délai toute observation faite sur l’état du matériel contrôlé ; Diagnostiquer les pannes ; Le cas échéant, effectuer des dépannages ou des révisions directement sur chantier. Tenir à jour les documents de suivi de l’activité de l’atelier (check-lists de révision, rapports d’intervention,…) ; Compléter les dossiers d’entretien des matériels au fur et à mesure des interventions réalisées; S’informer des nouvelles documentations techniques des fournisseurs ; Informer le Responsable d’atelier de l’état du stock de pièces et consommables ; Participer à l’évaluation de fournisseurs correspondants. Rendre compte au Responsable d’agence du bon accomplissement de sa mission ; Rendre compte au Responsable d’atelier de l’avancement des travaux par rapport aux objectifs fixés et des incidents survenus sur les matériels. "
