,Poste,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
2250,  Chargé De Reporting.,non spécifié,1,22/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2251,  DESSINATEUR INDUSTRIEL,non spécifié,1,19/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2252,   Technicien D'hygiène Et De Sécurité,non spécifié,1,19/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2253,  Comptable,non spécifié,1,19/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2254,  Boulanger,non spécifié,1,19/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2255,  Vendeur / Commercial Produits Agroalimentaires,non spécifié,6,19/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2256,  EDUCATRICES,non spécifié,6,19/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2257,  Aide En Pharmacie,non spécifié,1,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2258,  Chauffeur Livreur (Permis C),non spécifié,2,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2259,  Hôtesses De L'air Et Stewards,non spécifié,150,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2260,  TECHNICIEN LABORATOIRE,non spécifié,1,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2261,   Téléconseiller,non spécifié,20,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2262,  Commerciaux Motorisés (H/F),non spécifié,2,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2263,  Fiche De Poste : Opérateur De Télésurveillance Et De Maintenance à Distance La Position Consiste à Assurer La Gestion à Distance D’un Parc De Robots Installés Et Opérationnels En Europe Et Aux Etats-,non spécifié,2,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2264,  INSPECTEUR DES PECHES /QUALITICIEN,non spécifié,1,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2265,   Comptable,non spécifié,2,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2266,   Opérateur Sur Machine Mécanisée1 De Câblage,non spécifié,50,18/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2267,  Câbleuses,non spécifié,30,17/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2268,   Employé De Bureau,non spécifié,4,17/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2269,  20 Menuisiers En Bois,non spécifié,20,17/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2270,  15 Téléprospecteur/téléprospectrice,non spécifié,15,17/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2271,   Infirmier Polyvalent,non spécifié,1,17/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2272,   Agent De Sécurité Et De Surveillance,non spécifié,4,16/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2273,  OPERATEURS DE PRODUCTION,non spécifié,20,16/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2274,  Assistante De Direction,non spécifié,1,16/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2275,   DES SERVEUSES ET SERVEURS,non spécifié,120,16/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2276,  PROJETEUR CALCULATEUR,non spécifié,2,16/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2277,  GRAND HOTEL BASE A EL JADIDA CHERCHE 30 HOTESSES ET HOTES,non spécifié,90,16/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2278,  AIDE COMPTABLE,non spécifié,1,16/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2279,"  AIDE TECHNICIEN MAINTENANCE ET INSTALLATION (PLOMBERIE ,FROID ET CLIMATISATION)",non spécifié,1,15/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2280,   Contrôleur De Trafic (voyageurs),non spécifié,30,15/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2281,   Caissier,non spécifié,10,15/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2282,  Employé De Libre Service,non spécifié,10,15/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2283,  Technicien De Laboratoire D'analyses Médicales,non spécifié,1,15/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2284,  Vendeuse,non spécifié,1,15/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2285,  1 Secrétaire Bureautique Polyvalente,non spécifié,1,15/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2286,"  Chef De Rang, Commis De Salle",non spécifié,2,15/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2287,  Développeurs Commercial (Féminin),non spécifié,10,15/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2288,  Opérateur Automobile,non spécifié,100,13/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2289,   Electricien Du Bâtiment Et Des Travaux Publics,non spécifié,1,12/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2290,   Employé De Bureau,non spécifié,2,12/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2291,  AGENT D'ARCHIVAGE,non spécifié,6,12/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2292,  Opérateur De Sécurisation Des Chantiers Et Surveillance Des Installations Ferroviaires,non spécifié,25,12/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2293,"  Caissière, Barman, Préparateur, Plongeur, Femmes De Ménage, Serveurs",non spécifié,13,12/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2294,"  Le Centre De Néphrologie Et D'hémodialyse D'Azemmour Recrute Des Infirmier(e)s Polyvalents. La Proximité Du Lieu De Travail Serait Un Atout Lors De La Sélection (Azemmour,sidi Ali...)",non spécifié,2,12/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2295,  ASSISTANT(E) COMMERCIAL(E,non spécifié,1,12/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2296,  TOURNEURS,non spécifié,15,12/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2297,"  Chargé De Clientèle Sur Les Villes Suivantes : GUERCIF , SKHIRATE , ZAGORA, GUELMIM, TAROUDANT, TINGHIR, BEJAAD, ESSEMARA, BOUMALEN DADES, EL BROUJ",non spécifié,64,11/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2298,  Opérateurs De Machine (H/F),non spécifié,4,11/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2299,   VENDEUSE EN PARAPHARMACIE,non spécifié,1,11/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2300,  AGENT D'ACCUEIL POUR UN HOTEL A TIZNIT,non spécifié,1,11/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2301,  Employé De Libre Service,non spécifié,40,11/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2302,  Technicien De Laboratoire,non spécifié,3,11/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2303,   Employé De Bureau,non spécifié,2,11/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2304,  OPERATEUR DE SAISIE EN ARABE,non spécifié,64,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2305,  Operateur De Cablage,non spécifié,100,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2306,  Employé De Gestion,non spécifié,3,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2307,  Chargé D'Informations Touristique,non spécifié,2,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2308,  TECHNCIEN RESEAU,non spécifié,1,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2309,  AGENT COMMERCIAL,non spécifié,20,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2310,  Technicien De Béton,non spécifié,1,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2311,  UNE MANGER DE RESTAURANT RESPONSABLE DE JOURNET (FEMME),non spécifié,1,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2312,  BARMAN,non spécifié,1,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2313,  UNE CHEFFE DE CUISINE MAROCAINE,non spécifié,1,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2314,  UNE CONTROLEUSE DE GESTION,non spécifié,1,10/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2315,  Comptabilité Accueil Classement Saisie,non spécifié,1,09/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2316,  Ingénieur En Construction Métallique,non spécifié,1,09/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2317,  Caissières (F),non spécifié,3,09/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2318,  TECHNICIEN DE MAINTENANCE ET INSTALLATION (plomberie Ou Froid Et Climatisation),non spécifié,2,09/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2319,"  Enseignants Mathématique , Education Islamique Et Sport Niveau Collège/Lycée (H/F)",non spécifié,3,09/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2320,  Superviseur D'équipe (H),non spécifié,1,09/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2321,  DEVELOPER,non spécifié,1,08/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2322,  Conseiller Commercial,non spécifié,4,08/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2323,  AGENT DE GARDIENNAGE,non spécifié,6,08/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2324,  Agent De Guichet Bureau De Change,non spécifié,1,08/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2325,  Installateur (trice) De Chauffe Eaux Solaire,non spécifié,1,08/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2326,  Commercial Chauffe Eaux Solaire,non spécifié,1,08/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2327,"  Infographiste, Machiniste (H/F)",non spécifié,1,08/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2328,  Agent De Megane/ 5h De Travail Par Jour.,non spécifié,3,05/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2329,  Agent Nettoyage Spécifique Marbre+ Manutention De Mobilier Léger( Carton -dossier),non spécifié,5,05/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2330,  Educatrice Paire Meneuse,non spécifié,1,05/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2331,  01 PIZZA YOLO 01 PLOngeur,non spécifié,2,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2332,  AGENT DE COMPTOIR,non spécifié,2,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2333,  Employé De Restauration Polyvalent,non spécifié,4,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2334,  Barman Dans Un Café Restaurant,non spécifié,2,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2335,  01 Agent De Sécurité (nuit),non spécifié,1,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2336,  Comptable Confirmé,non spécifié,1,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2337,  Secrétaire Comptable,non spécifié,1,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2338,  Enseignantes De Langue Francaise,non spécifié,4,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2339,  Vendeur Dans Une Librairie.,non spécifié,1,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2340,  Agent Transitaire,non spécifié,1,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2341,  Caissière,non spécifié,1,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2342,  ASSISTANTE DE DIRECTION,non spécifié,1,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2343,  INSTALLATEUR DES CAMERAS DE SURVEILLANCE,non spécifié,1,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2344,  CHARGEE DE CLIENTELE,non spécifié,1,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2345,  Agent De Securité,non spécifié,30,04/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2346,   Agent Administratif,non spécifié,15,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2347,  Technicien Pâte Alimentaire,non spécifié,1,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2348,   Agent Administratif,non spécifié,10,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2349,  Directeur Responsable Du Pays-African.,non spécifié,1,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2350,  Téléopérateur,non spécifié,12,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2351,  Agent De Caisse,non spécifié,3,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2352,"  10 TRADUCTEURS (Francais-Anglais-Espagnol) Bac+3 Et Plus. Très Bon Niveau Dans Les 3 Langues. Salaire: 8000,00DH",non spécifié,10,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2353,  RESPONSABLE DE BUREAU,non spécifié,1,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2354,  Architecte,non spécifié,1,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2355,  Dessinateur Du Bâtiment,non spécifié,1,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2356,  DESSINATEUR /INFOGRAPHISTE,non spécifié,1,03/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2357,   Employé De Gestion Administrative,non spécifié,1,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2358,   Aide Comptable,non spécifié,1,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2359,  Esthéticienne Spa Praticienne,non spécifié,4,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2360,  Opérateur Sur Machine Mécanisée1 De Câblage,non spécifié,50,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2361,  Ingenieur Laboratoire Chimie Industruiel,non spécifié,1,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2362,  Eléctromécanicien,non spécifié,4,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2363,   Serveur,non spécifié,2,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2364,   Employé De Station De Service,non spécifié,6,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2365,   Caissier De Libre Service,non spécifié,1,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2366,   Cuisinier,non spécifié,1,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2367,   Mécanicien De Véhicules Particuliers Et Industriels,non spécifié,1,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2368,  INFOGRAPHISTE,non spécifié,4,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2369,  Opérateur En E-mailing,non spécifié,10,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2370,   Commercial/Commerciale,non spécifié,1,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2371,   Laveur De Carreaux,non spécifié,2,02/05/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2372,  Assistante Direction,non spécifié,1,29/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2373,  Experience En Optique,non spécifié,3,29/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2374,"  Géstionnaire, Administrative, Gestion De Stocks..",non spécifié,1,29/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2375,  Ingénieur Thermicien,non spécifié,1,29/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2376,   Conducteur Tireur Sérigraphe,non spécifié,1,28/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2377,  Aide Magasinier,non spécifié,1,28/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2378,   Ouvrier Du Ciment,non spécifié,4,28/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2379,  Ouvriers/ouvrières,non spécifié,50,28/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2380,  Agent De Production Commande Numérique /construction Métallique,non spécifié,1,28/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2381,  Agent De Marquage Des Routes,non spécifié,1,28/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2382,  Infographiste,non spécifié,1,28/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2383,"  Assistante Commerciale:gestion Commerciale Facturation, BC,BL,Devis, Vente, Suivi Clients & Fournisseurs. TS En Gestion Ou Commerce. Exp 2 Ans Et Plus",non spécifié,1,27/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2384,  OPERATRICES DE PRODUCTION,non spécifié,20,27/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2385,  Opératrice/opérateur,non spécifié,100,27/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2386,  VENDEUSE,non spécifié,1,27/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2387,   Téléconseiller,non spécifié,8,27/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2388,  Vendeur,non spécifié,40,27/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2389,  RESPONSABLE GESTIONNAIRE ADMINISTRATIF,non spécifié,3,27/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2390,  Employé De Libre Service,non spécifié,10,27/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2391,  Assistant (e) De Direction,non spécifié,1,26/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2392,  Enseignant Français (collège +primaire),non spécifié,1,26/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2393,  Enseignant Maths (collège+primaire),non spécifié,1,26/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2394,  Enseignant Informatique,non spécifié,1,26/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2395,  Educatrice Préscolaire,non spécifié,10,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2396,  Prof D éducation Physique,non spécifié,2,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2397,  Responsable Pédagogique Encadrement Du Français 36 Mois D 'expérience,non spécifié,1,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2398,  Chauffeur Bus Scolaire,non spécifié,1,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2399,  Assistante De Direction,non spécifié,1,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2400,  Enseignant Arabe,non spécifié,1,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2401,  Directeur Pédagogique De L'école Primaire,non spécifié,1,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2402,  Responsable Maternelle.24 Mois D 'expérience,non spécifié,1,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2403,  Educatrice ( Maternelle),non spécifié,1,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2404,  Enseignant Anglais,non spécifié,1,25/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2405,  Pâtissier-Confiseur,non spécifié,2,21/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2406,  Assistante De Direction,non spécifié,4,21/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2407,   Opérateur Sur Machines Automatiques En Production électrique Ou électronique.,non spécifié,1,21/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2408,  Assistante Polyvalente,non spécifié,4,21/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2409,  Responsable Audit Interne,non spécifié,1,20/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2410,  Chargé De Clientèle Chez Un Courtier D'assurance,non spécifié,8,20/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2411,"  Réceptionniste Agent D'accueil (F). Bac+2 En Secrétariat, Commerce",non spécifié,1,19/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2412,  3 Marketers. Bac+5 En Marketing,non spécifié,3,19/04/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
