,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
278,Chef de cuisine, Hôtellerie et restauration ,2,26/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien spécialisé ,Boulanger pâtissier ",(6 mois - 1 an),"Francais : Moyen, Arabe : Langue maternelle",non spécifié
279,Employé polyvalent de restauration , Hôtellerie et restauration ,2,26/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien spécialisé ,Service de restauration ",(6 mois - 1 an),Francais : Moyen,non spécifié
280,Vendeur en alimentation général, Hôtellerie et restauration ,1,26/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CDD,non spécifié,"Technicien spécialisé ,Tech sp technico-commercial en agriculture ",(6 mois - 1 an),Francais : Moyen,non spécifié
281,Conducteur de machines de biscuiterie-panification fine-pâtisserie industrielle, Hôtellerie et restauration ,2,26/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien spécialisé ,Boulanger pâtissier ",(6 mois - 1 an),Francais : Moyen,non spécifié
282,Responsable restauration/gérant, Hôtellerie et restauration ,1,26/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CDD,non spécifié,"Technicien spécialisé ,Service de restauration ",(6 mois - 1 an),Francais : Moyen,non spécifié
283,Employé polyvalent de restauration , Hôtellerie et restauration ,50,26/02/2024,11/03/2024, PLUSIEURS VILLES,Choix Multiple,Employé polyvalent de restauration ayant un diplôme ou une expérience en restauration ,non spécifié,non spécifié,Francais : Bon,non spécifié
284,Intervenant auprès d'enfants, Activités des ménages en tant qu'employeurs de personnel domestique ,1,26/02/2024,non spécifié, RABAT AGDAL,CDI,"- Effectuer les actes du quotidien nécessaires à l’enfant en respectant ses rythmes (toilette, habillage, sieste…) et l’accompagner dans son apprentissage de l’autonomie - Préparer et donner les repas - Veiller à l’état de santé général de l’enfant et repérer les signes de malaise ou détresse - Participer à l’éveil de l’enfant par des activités d’éveil adaptées à son âge et à son handicap - Transmettre toute information utile aux parents - Ranger et entretenir le cadre de vie, le matériel utilisé - Respecter les règles éducatives définies par les parents - Accomplir les petites tâches ménagères demandées pendant les temps de sieste ",non spécifié,non spécifié,non spécifié,non spécifié
285,Assistant familial, Activités des ménages en tant qu'employeurs de personnel domestique ,1,26/02/2024,non spécifié, RABAT AGDAL,CDD," - Assister quotidiennement une personne âgée et handicapée : Lui assurer les soins, l’assister à la prise de ses médicaments… - Savoir faire la lecture (en anglais) des textes et des moyens audio-visuels dans le cadre d’un traitement psycho-moteur ",non spécifié,non spécifié,non spécifié,non spécifié
286,Technicien des industries graphiques, Services fournis principalement aux entreprises ,1,23/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,non spécifié,"Technicien spécialisé ,Infographie ",(1 an - 2 ans),"Arabe : Courant, Francais : Courant, Anglais : Bon",non spécifié
287,Secrétaire de direction, Services fournis principalement aux entreprises ,2,23/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,non spécifié,"Technicien spécialisé ,Assistant (e) de direction ",(1 an - 2 ans),"Francais : Courant, Anglais : Courant, Arabe : Courant",non spécifié
288,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,50,23/02/2024,non spécifié, KENITRA ,CI,"PREPARER DIRIGER ET SUPERVISER LA MACHINE POUR PRODUIRE DES PANIERS DE CABLES DANS LES DELAIS IMPARTIS ET CONFORMEMENT AU CALENDRIER. APPLIQUER DES PARAMETRES DE PROCESSUS ADEQUATS, DES INSTRUCTIONS DE TRAVAIL DES PLANS DE CONTROLE AUTOMATIQUE AFIN D'ATTEINDRE LES OBJECTIFS DE PRECISION DE QUAMITE ET DE MISE EN REBUT DANS LE CADRE D'UNE UTILISATION SECURITAIRE ET ADEQUATE DES EQUIPEMENTS.",Baccalauréat,non spécifié,"Francais : Bon, Arabe : Langue maternelle",non spécifié
289,Concepteur de site web, Autres ,1,23/02/2024,non spécifié, CASABLANCA-ANFA,CI,géré un site e commerce pour parapharmacie contenue des produits animation sur les réseaux sociaux ,"Bac + 2 ,Développement Informatique ",(6 mois - 1 an),Francais : Bon,non spécifié
290,Biologiste médical, Santé et action sociale ,1,23/02/2024,non spécifié, CASABLANCA-ANFA,CDI,"Missions du poste : Le (la) candidat (e), doit être titulaire d’un master en sciences biologiques et de la santé avec des connaissances solides dans le domaine de la cytogénétique, génétique & biologie moléculaire et dépistage néonatal. Le (la) candidat (e) doit avoir une première expérience démontrée dans un laboratoire de biologie médicale en tant que technicien spécialisé en cytogénétique, la biologie moléculaire et la biologie de reproduction. La personne doit assurer et maitriser les techniques suivantes :  Culture cellulaire  Cytogénétique constitutionnelle prénatal et post-natal : caryotype constitutionnel (bandes G/ bandes R), capture des métaphases et analyse des chromosomes sur le logiciel Genikon )  Cytogénétique conventionnelle le caryotype onco-hématologique,  Cytogénétique moléculaire : FISH (Hybridation in Situ par Fluorescence), ACPA  Biologie moléculaire : extraction des acides nucléiques (ADN/ARN) ; analyse moléculaire par PCR, PCR en temps réel.  Biologie de reproduction : Spermiologie, TMS, Préparation IIU,Fragmentation et décondensation de l’ADN spermatique.  Dépistage néonatal : Test de Guthrie En plus des fonctions techniques du poste, Le (la) candidat (e) doit participer à démarche qualité du laboratoire suivant la norme ISO 15189 :  Appliquer les procédures, modes opératoires et techniques validés  Maintenance courante, préventive et/ou corrective des analyseurs et des équipements de l’unité.  Gestion des stocks.  Gestion des contrôles qualité CQI/EEQ  Respect des règles d’hygiène et de sécurité (hygiène, procédures d’élimination des déchets, incendie).  Surveillance des indicateurs qualité du processus.  Mise en place des actions d’amélioration.  respect des règles d’éthique et confidentialité Pré-requis du poste : Vigilance, rigueur, sens de l’organisation et méthode, adaptabilité aux techniques nouvelles, travail en équipe. Conscience, curiosité et discrétion professionnelles. ",non spécifié,non spécifié,"Francais : Bon, Anglais : Moyen",non spécifié
291,Dessinateur du bâtiment, Construction ,3,23/02/2024,non spécifié, AGADIR,CDI,non spécifié,"Technicien ,Dessin de bâtiment ",(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
292,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,100,23/02/2024,non spécifié, EL JADIDA ,CI,BAC/ QUALIFICATION / SPECIALISATION,Certificat de spécialisation professionnelle,non spécifié,non spécifié,non spécifié
293,Monteur câbleur en électronique., Fabrication de machines et appareils électriques ,150,23/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
294,Econome gestionnaire (restauration collective), Hôtellerie et restauration ,1,22/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien ,Comptabilité et Gestion ",non spécifié,Francais : Bon,non spécifié
295,Responsable de la gestion des ressources humaines, Education ,1,22/02/2024,non spécifié, CASABLANCA-ANFA,CI,"* Gérer les ressources humaines et assurer les affaires juridiques de l'école. Recrutement et gestion du personnel, développement des politiques ressources humaines, conseil juridique, veille réglementaire, et gestion des litiges. *Solides connaissances en droit du travail, gestion des ressources humaines et réglementations applicables à l'éducation. *Capacité à communiquer clairement, à négocier des accords et à résoudre des conflits. *Aptitude à analyser des situations complexes, à évaluer les risques juridiques et à prendre des décisions éclairées.","Bac + 5, master privé, MBA ,Droit des affaires, juriste d'affaires ",(2 ans - 3 ans),"Francais : Courant, Anglais : Bon",non spécifié
296,"Mécanicien d'engins de chantier, de levage et manutention"," Assainissement, voirie et gestion des déchets ",2,22/02/2024,non spécifié, EL HAJEB ,CI,non spécifié,Technicien,non spécifié,non spécifié,non spécifié
297,Enseignant des écoles, Education ,30,22/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,Bac + 2,non spécifié,"Francais : Bon, Arabe : Bon",non spécifié
298,Développeur, Conseil en systèmes informatiques ,1,22/02/2024,non spécifié, MOHAMMEDIA ,CDI,non spécifié,"Bac + 2 ,Développement Informatique ",non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
299,Employé de service contentieux, Services fournis principalement aux entreprises ,5,22/02/2024,non spécifié, CASABLANCA-ANFA,CI,non spécifié,"Bac + 2 ,Administration et finances ",(6 mois - 1 an),Francais : Bon,non spécifié
300,Opérateur de maintenance sur installation industrielle , Industrie automobile ,150,22/02/2024,non spécifié, KHOURIBGA ,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,"Francais : Moyen, Arabe : Courant","avoir un diplome de Spécialisation,CQP,BAC,Technicien et plus"
301,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,10,22/02/2024,non spécifié, KENITRA ,CI,non spécifié,Technicien spécialisé,non spécifié,"Anglais : Notions, Francais : Bon",non spécifié
302,Agent Bureau d’études CAO, Services fournis principalement aux entreprises ,150,22/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,"Vous réaliserez les plans d'installation, les schémas de câblage et d'approvisionnement des futures installations à partir de logiciels de Conception Assistée par Ordinateur",non spécifié,non spécifié,non spécifié,non spécifié
303,Opérateur sur machines automatiques en production électrique ou électronique., Commerce et réparation automobile ,60,22/02/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,Baccalauréat,(6 mois - 1 an),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
304,Concepteur de site web, Industrie textile ,1,22/02/2024,06/05/2024, FES,CI,Dessin sur Photoshop de motifs pour pour l'impression numérique; - Ajuster le rapport et dimensionner le dessin selon les demandes des clients; - Modifier et calibrer les couleurs pour impression sur tissus; - Transfert des dessins à la machine d'impression numérique.,non spécifié,non spécifié,Francais : Moyen,BAC+2 EN INFOGRAPHIE
305,Monteur câbleur en construction électrique," Production et distribution d'électricité, de gaz et de chaleur ",2,22/02/2024,28/02/2024, EL JADIDA ,CI,non spécifié,Technicien,(6 mois - 1 an),Francais : Moyen,non spécifié
306,Téléconseiller, Services fournis principalement aux entreprises ,4,22/02/2024,non spécifié, RABAT AGDAL,CDI,Téléconseiller,Bac + 2,(moins de 6 mois),Francais : Courant,non spécifié
307,Commercial/Commerciale, Services fournis principalement aux entreprises ,1,22/02/2024,non spécifié, TANGER-ASSILAH,CDD,non spécifié,"Technicien spécialisé ,Commerce et Gestion ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
308,Caissier, Hôtellerie et restauration ,3,22/02/2024,01/03/2024, IFRANE ,CDD,CONTRAT : CDD PUIS CDI LIEU DE TRAVAIL : IFRANE ET AZROU MISSION : PRENDRE COMMANDES / TAPER COMMANDES STANDARD / RECEPTION CLIENTS /SERVICE CLIENTS,"Technicien ,Réception d'hôtel ",(1 an - 2 ans),"Francais : Bon, Anglais : Bon",BAC +2 EN RECEPTION /SERVICE CLIENT /COMMERCE
309,Couturier moderne, Industrie textile ,30,22/02/2024,non spécifié, JERADA ,CI,خبرة في مجال الخياطة - التوفر على دبلوم مهني أو باكالوريا- ,Formation qualifiante,non spécifié,Arabe : Bon,non spécifié
310,"Ouvrier de fabrication (céramique matériaux de construction). """, Commerce et réparation automobile ,150,22/02/2024,non spécifié, TANGER-FAHS-ANJRA,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
311,Commercial/Commerciale, Autres ,1,22/02/2024,non spécifié, CASABLANCA-ANFA,CDI,Commercial dans le secteur immobilier ,"Diplôme du 2ème cycle universitaire ,Commerce et distribution ",non spécifié,"Francais : Courant, Arabe : Courant",non spécifié
312,Responsable achats et sourcing , Autres ,1,22/02/2024,non spécifié, CASABLANCA-ANFA,CDI,– Définir avec l’entreprise les besoins internes – Choisir les produits nécessaires aux besoins de l’entreprise et s’occuper de la négociation auprès des fournisseurs SECTEUR BTP – Prospecter le marché – Négocier les délais de livraison et les prix,"Diplôme du 2ème cycle universitaire ,Gestion des achats & sourcing ",non spécifié,"Francais : Courant, Arabe : Courant",non spécifié
313,Employé polyvalent de restauration , Hôtellerie et restauration ,5,22/02/2024,non spécifié, MOHAMMEDIA ,CI,non spécifié,"Technicien ,Service de restauration ",non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
314,Employé polyvalent de restauration , Hôtellerie et restauration ,4,22/02/2024,non spécifié, MOHAMMEDIA ,CI,non spécifié,"Technicien ,Service de restauration ",non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
315,Formateur , Education ,3,22/02/2024,non spécifié, TETOUAN ,CI,non spécifié,"Bac + 2 ,MP ",non spécifié,"Francais : Bon, Arabe : Langue maternelle",non spécifié
316,Opérateur sur machine mécanisée1 de câblage , Industrie automobile ,50,22/02/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,Certificat de spécialisation professionnelle,non spécifié,non spécifié,non spécifié
317,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,50,22/02/2024,non spécifié, TIZNIT ,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
